,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
10,2008,11,2008-04-26,11th match,Chennai Super Kings,Kolkata Knight Riders,Chennai,MA Chidambaram Stadium,Kolkata Knight Riders,bat,Ashok Dinda,Ishant Sharma,Ajit Agarkar,Murali Kartik,Laxmi Shukla,Mohammad Hafeez,David Hussey,Wriddhiman Saha,Ricky Ponting,Brendon McCullum (wk),Sourav Ganguly (c),Parthiv Patel,MS Dhoni (c & wk),Matthew Hayden,Muttiah Muralitharan, Palani Amarnath, Manpreet Gony, Joginder Sharma, Jacob Oram, Suresh Raina, S Badrinath, Michael Hussey,1,0,9.0
11,2008,12,2008-04-26,12th match,Royal Challengers Bangalore,Rajasthan Royals,Bengaluru,M.Chinnaswamy Stadium,Rajasthan Royals,bowl,Vinay Kumar,Zaheer Khan,Praveen Kumar,Sunil Joshi,Mark Boucher (wk),Jacques Kallis,Rahul Dravid (c),Ross Taylor,Shivnarine Chanderpaul,Virat Kohli,Anil Kumble,Mohammad Kaif,Shane Watson,Yusuf Pathan,Mahesh Rawat (wk),Graeme Smith,Munaf Patel, Shane Warne, Ravindra Jadeja, Dinesh Salunkhe, Sohail Tanvir, Siddharth Trivedi,0,0,7.0
12,2008,13,2008-04-27,13th match,Kings XI Punjab,Delhi Daredevils,Mohali,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bat,Yo Mahesh,Farveez Maharoof,Rajat Bhatia,Manoj Tiwary,Dinesh Karthik (wk),Shoaib Malik,Virender Sehwag (c),Shikhar Dhawan,Gautam Gambhir,Mohammad Asif, Glenn McGrath,Brett Lee,Irfan Pathan,Simon Katich,Karan Goel,Tanmay Srivastava,Yuvraj Singh (c),Mahela Jayawardene,Kumar Sangakkara (wk),Piyush Chawla, S Sreesanth, Vikram Singh,1,0,4.0
13,2008,14,2008-04-27,14th match,Mumbai Indians,Deccan Chargers,Mumbai,Dr DY Patil Sports Academy,Deccan Chargers,bowl,Musavir Khote,Dwayne Bravo,Abhishek Nayar,Shaun Pollock (c),Robin Uthappa,Ajinkya Rahane,Luke Ronchi (wk),Sanath Jayasuriya,Siddharth Chitnis, Dhawal Kulkarni, Ashish Nehra,Adam Gilchrist (wk),VVS Laxman (c),Doddapaneni Kalyankrishna, Nuwan Zoysa, Pragyan Ojha, RP Singh, Arjun Yadav, Sanjay Bangar, Shahid Afridi, Rohit Sharma, Andrew Symonds,0,0,10.0
14,2008,15,2008-04-28,15th match,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,M.Chinnaswamy Stadium,Chennai Super Kings,bat,Jacob Oram,MS Dhoni (c & wk),Suresh Raina,Matthew Hayden,Michael Hussey,Parthiv Patel,Joginder Sharma, Palani Amarnath, Manpreet Gony, S Badrinath, Albie Morkel,Balachandra Akhil,Dale Steyn,Praveen Kumar,Zaheer Khan,Rahul Dravid (c),Virat Kohli,Mark Boucher (wk),Jacques Kallis,Bharath Chipli,Ross Taylor,Wasim Jaffer,0,13.0,0
15,2008,16,2008-04-29,16th match,Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,Kolkata Knight Riders,bat,Ishant Sharma,Murali Kartik,Ajit Agarkar,Laxmi Shukla,David Hussey,Mohammad Hafeez,Debabrata Das,Ricky Ponting,Sourav Ganguly (c),Brendon McCullum (wk),Ashok Dinda,Ajinkya Rahane,Dwayne Bravo,Robin Uthappa,Manish Pandey,Sanath Jayasuriya,Pinal Shah, Dilhara Fernando, Dhawal Kulkarni, Shaun Pollock, Abhishek Nayar, Ashish Nehra,0,0,7.0
16,2008,17,2008-04-30,17th match,Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,Royal Challengers Bangalore,bowl,Rajat Bhatia,Manoj Tiwary,Dinesh Karthik (wk),Shoaib Malik,Virender Sehwag (c),Shikhar Dhawan,Gautam Gambhir,Yo Mahesh, Mohammad Asif, Glenn McGrath, Daniel Vettori,Mark Boucher (wk),Virat Kohli,Praveen Kumar,Rahul Dravid (c),Jacques Kallis,Ross Taylor,Wasim Jaffer,Sunil Joshi, Vinay Kumar, Zaheer Khan, Dale Steyn,1,10.0,0
17,2008,18,2008-05-01,18th match,Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,bat,Mahesh Rawat (wk),Sohail Tanvir,Shane Warne (c),Ravindra Jadeja,Shane Watson,Yusuf Pathan,Swapnil Asnodkar,Mohammad Kaif,Graeme Smith,Munaf Patel, Siddharth Trivedi,Ishant Sharma,Ashok Dinda,Umar Gul,Debabrata Das,Wriddhiman Saha (wk),Laxmi Shukla,David Hussey,Ajit Agarkar,Salman Butt,Brad Hodge,Sourav Ganguly (c),1,45.0,0
18,2008,19,2008-05-01,19th match,Deccan Chargers,Kings XI Punjab,Hyderabad,Rajiv Gandhi International Stadium,Kings XI Punjab,bowl,RP Singh,Doddapaneni Kalyankrishna,Sanjay Bangar,Nuwan Zoysa,Shahid Afridi,Venugopal Rao,Rohit Sharma,Herschelle Gibbs,VVS Laxman (c),Adam Gilchrist (wk),Pragyan Ojha,Shaun Marsh,Yuvraj Singh (c),Mahela Jayawardene,Kumar Sangakkara (wk),Ramnaresh Sarwan,Gagandeep Singh, Piyush Chawla, S Sreesanth, Vikram Singh, Irfan Pathan, Karan Goel,0,0,7.0
19,2008,20,2008-05-02,20th match,Chennai Super Kings,Delhi Daredevils,Chennai,MA Chidambaram Stadium,Chennai Super Kings,bat,S Badrinath,Joginder Sharma,Suresh Raina,Albie Morkel,Vidyut Sivaramakrishnan,MS Dhoni (c & wk),Stephen Fleming,Parthiv Patel,Muttiah Muralitharan, Manpreet Gony, Makhaya Ntini,Gautam Gambhir,Shikhar Dhawan,AB de Villiers,Virender Sehwag (c),Glenn McGrath, Pradeep Sangwan, Rajat Bhatia, Yo Mahesh, Dinesh Karthik, Shoaib Malik, Mohammad Asif,0,0,8.0
