,season,team1,team2,winner
462,2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
463,2015,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
464,2015,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
465,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
466,2015,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
467,2015,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
468,2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
469,2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
470,2015,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
471,2015,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
472,2015,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
473,2015,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
474,2015,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
475,2015,Rajasthan Royals,Kings XI Punjab,False
476,2015,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
477,2015,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
478,2015,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
479,2015,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
480,2015,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
481,2015,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
482,2015,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
483,2015,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
484,2015,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
485,2015,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
486,2015,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
487,2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians
488,2015,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
489,2015,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
490,2015,Kings XI Punjab,Mumbai Indians,Mumbai Indians
491,2015,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
492,2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
